latitude,longitude,elevation
51.11023,3.34771,15
51.11239,3.34391,15
51.10986,3.34082,15
51.11067,3.33807,20
51.10863,3.33588,21
51.10747,3.33456,19
51.10684,3.3338,20
51.10643,3.33267,20
51.10643,3.33258,20
51.10589,3.33113,21
51.10627,3.33082,23
51.10743,3.33004,28
51.10882,3.32909,28
51.1082,3.32644,23
51.10793,3.3253,26
51.1069,3.32083,26
51.10443,3.32058,23
51.10438,3.32051,23
51.10442,3.32044,23
51.10325,3.31654,34
51.1028,3.31495,35
51.1026,3.31439,32
51.102,3.31236,24
51.09975,3.30481,23
51.09941,3.30368,28
51.09941,3.3037,28
51.09916,3.30287,29
51.09933,3.30096,29
51.09948,3.29914,28
51.09796,3.29951,24
51.09795,3.2999,26
51.09793,3.30012,26
51.09787,3.30031,26
51.09773,3.30064,26
51.09694,3.30188,21
51.09649,3.30208,17
51.09629,3.30226,16
51.09611,3.30238,16
51.09589,3.30246,15
51.09573,3.30249,15
51.09559,3.30244,15
51.09543,3.30236,15
51.09531,3.30225,16
51.09526,3.30218,16
51.0952,3.30208,16
51.09521,3.30208,16
51.09513,3.30195,18
51.09508,3.30167,18
51.09508,3.30151,18
51.09509,3.30135,18
51.09512,3.30044,18
51.09513,3.2997,18
51.09505,3.29919,18
51.09502,3.29881,18
51.09497,3.29852,18
51.09497,3.29853,18
51.09484,3.29846,19
51.09466,3.2984,19
51.09455,3.29831,18
51.0946,3.29796,18
51.09483,3.29716,19
51.09488,3.29687,20
51.09482,3.29646,19
51.09479,3.29628,21
51.09475,3.29615,21
51.09375,3.29387,24
51.09374,3.29362,24
51.09368,3.29331,24
51.09361,3.29208,21
51.0937,3.29149,20
51.09394,3.29137,17
51.09577,3.29134,15
51.09577,3.29126,15
51.09628,3.28241,18
51.09628,3.28241,18
51.09701,3.283,19
51.09795,3.28369,19
51.09874,3.27729,20
51.09891,3.27587,20
51.09896,3.27541,20
51.09893,3.27339,18
51.09889,3.27305,17
51.09887,3.27272,15
51.09906,3.27196,13
51.09934,3.27066,13
51.09954,3.26964,14
51.09966,3.26905,15
51.10063,3.26659,15
51.10059,3.26653,15
51.10013,3.26661,14
51.09979,3.26652,14
51.09962,3.26642,13
51.09937,3.26617,11
51.09918,3.26608,10
51.09893,3.26608,9
51.09843,3.26617,10
51.09788,3.2663,10
51.09739,3.2662,11
51.09717,3.26612,11
51.09708,3.26597,12
51.09636,3.26458,13
51.09595,3.2644,14
51.09526,3.26333,12
51.09507,3.26254,12
51.09488,3.26139,12
51.09466,3.261,12
51.09438,3.25964,12
51.09319,3.26021,12
51.09308,3.26022,11
51.09303,3.26012,11
51.09243,3.2572,14
51.09178,3.25409,15
51.09153,3.25289,14
51.09148,3.25273,14
51.0914,3.25264,14
51.091,3.25281,14
51.09093,3.2528,14
51.09089,3.2527,14
51.09054,3.25059,14
51.09059,3.25,14
51.09057,3.24973,14
51.09057,3.24973,14
51.09055,3.24962,13
51.09008,3.24971,14
51.09005,3.24956,13
51.08981,3.24895,13
51.08964,3.24838,13
51.0896,3.24798,12
51.08962,3.2466,12
51.08973,3.24474,12
51.08979,3.24398,13
51.09016,3.2423,12
51.09025,3.2419,12
51.0908,3.24065,12
51.09078,3.24037,12
51.09273,3.24005,12
51.09311,3.23984,12
51.09328,3.23967,12
51.09361,3.23914,12
51.09366,3.23901,12
51.09365,3.23883,12
51.09345,3.23812,12
51.09334,3.23783,12
51.09316,3.2375,12
51.09311,3.23728,12
51.09293,3.23586,11
51.0929,3.2347,12
51.09295,3.23415,12
51.09293,3.23391,12
51.09278,3.23321,13
51.09282,3.23277,14
51.09273,3.23169,14
51.09268,3.23137,12
51.09252,3.23073,12
51.09205,3.22899,12
51.09201,3.22895,12
51.09203,3.22889,13
51.09201,3.22878,13
51.09177,3.22791,13
51.09177,3.22786,13
51.09179,3.22783,13
51.09233,3.22771,13
51.09236,3.22766,13
51.09215,3.22607,13
51.09216,3.22592,12
51.09219,3.22583,12
51.09229,3.22573,13
51.09232,3.22556,13
51.09219,3.22447,14
51.09222,3.22435,14
51.09219,3.22417,14
51.09205,3.22294,13
51.09205,3.22294,13
51.09257,3.22303,14
51.09262,3.22284,13
51.09293,3.2225,14
51.09362,3.22148,14
51.09527,3.21932,12
51.09645,3.21818,13
51.09629,3.21756,13
51.09608,3.21709,12
51.09581,3.21661,12
51.09551,3.21596,11
51.09475,3.21433,11
51.09438,3.21344,11
51.09407,3.21287,11
51.09391,3.21238,11
51.09382,3.21184,12
51.09384,3.21173,12
51.09384,3.21173,12
51.09373,3.21172,12
51.09299,3.21218,11
51.0922,3.21254,11
51.09136,3.21377,10
51.09117,3.21393,10
51.091,3.21411,10
51.0908,3.21445,10
51.09042,3.21501,10
51.09018,3.21528,10
51.08981,3.21543,10
51.0895,3.21551,10
51.08921,3.21556,11
51.0884,3.21441,11
51.0875,3.21272,13
51.08743,3.21251,13
51.08698,3.21189,13
